,sentence,intent,action,scenario,labels
0,siri what is one american dollar in japanese yen,qa_factoid,factoid,qa,1
1,how many unread emails do i have,qa_factoid,factoid,qa,1
2,order me chinese food,qa_factoid,factoid,qa,1
3,does the nearby chinese restaurant do delivery,qa_factoid,factoid,qa,1
4,remove pepper from my grocery list,qa_factoid,factoid,qa,1
5,the weather updated to the using spb weatherit either updates forecasts from intellicast or weathercom both rather poor for my site,qa_factoid,factoid,qa,1
6,drop it from list,qa_factoid,factoid,qa,1
7,is there any program for tomorrow evening,qa_factoid,factoid,qa,1
8,which flags ride is the best,qa_factoid,factoid,qa,1
9,call raju phone number,qa_factoid,factoid,qa,1
10,wake me up at ten,qa_factoid,factoid,qa,1
11,send an email to all my co workers,qa_factoid,factoid,qa,1
12,when defining words give thesaurus and use in a sentence to make it clearer,qa_factoid,factoid,qa,1
13,tell me about morel mushrooms,qa_factoid,factoid,qa,1
14,schedule a meeting with my colleague,qa_factoid,factoid,qa,1
15,open some cools jokes,qa_factoid,factoid,qa,1
16,please let me know the morning alarm time for weekdays,qa_factoid,factoid,qa,1
17,when are the meetings,qa_factoid,factoid,qa,1
18,play the most current episode of levin,qa_factoid,factoid,qa,1
19,save the information which is provided by aman on this song,qa_factoid,factoid,qa,1
20,turn on the vacuum,qa_factoid,factoid,qa,1
21,this article is super cool can you share the link to facebook for me,qa_factoid,factoid,qa,1
22,is there life on other planets,qa_factoid,factoid,qa,1
23,how is the traffic situation in houston street,qa_factoid,factoid,qa,1
24,what is your mother language,qa_factoid,factoid,qa,1
25,i want to hear some jazz,qa_factoid,factoid,qa,1
26,play next song,qa_factoid,factoid,qa,1
27,when are the trains running tomorrow,qa_factoid,factoid,qa,1
28,delete the last line,qa_factoid,factoid,qa,1
29,please mark my calendar for a holiday in cuba on april two,qa_factoid,factoid,qa,1
30,stock prices at walmart,qa_factoid,factoid,qa,1
31,what alarms are upcoming,qa_factoid,factoid,qa,1
32,what is it today,qa_factoid,factoid,qa,1
33,my facebook update in every three hour should be available,qa_factoid,factoid,qa,1
34,good assistants,qa_factoid,factoid,qa,1
35,resume audio book history of rome,qa_factoid,factoid,qa,1
36,remove a list,qa_factoid,factoid,qa,1
37,lets have a break for five minutes,qa_factoid,factoid,qa,1
38,tweet complaint to samsung,qa_factoid,factoid,qa,1
39,what is a fjord,qa_factoid,factoid,qa,1
40,get me an uber,qa_factoid,factoid,qa,1
41,ask my adviser,qa_factoid,factoid,qa,1
42,find a definition,qa_factoid,factoid,qa,1
43,add my upcoming meeting to my calendar,qa_factoid,factoid,qa,1
44,go to my favorite radio channel,qa_factoid,factoid,qa,1
45,set an alarm for five thirty,qa_factoid,factoid,qa,1
46,please pull up the article on dog sitting in the morning news,qa_factoid,factoid,qa,1
47,ask a restaurant in my area,qa_factoid,factoid,qa,1
48,order a double bacon cheeseburger with bacon an white american cheese,qa_factoid,factoid,qa,1
49,did i get any new emails today from claire,qa_factoid,factoid,qa,1
50,please open my fm radio and play nine hundred and eighty seven,qa_factoid,factoid,qa,1
51,is the twenty third of april a saturday,qa_factoid,factoid,qa,1
52,include an item to a list,qa_factoid,factoid,qa,1
53,let me know what's accumulated in my inbox since three pm,qa_factoid,factoid,qa,1
54,skip to next podcast,qa_factoid,factoid,qa,1
55,has sally fields ever won an academy award,qa_factoid,factoid,qa,1
56,reply mail,qa_factoid,factoid,qa,1
57,hey olly order two wings with french fries from the chinese food store,qa_factoid,factoid,qa,1
58,google the word,qa_factoid,factoid,qa,1
59,olly what is the time in zimbabwe right now,qa_factoid,factoid,qa,1
60,tell me one euro equals dollars,qa_factoid,factoid,qa,1
61,how many cups are in a quart,qa_factoid,factoid,qa,1
62,show me the top rated podcasts,qa_factoid,factoid,qa,1
63,what is it like outside,qa_factoid,factoid,qa,1
64,can you pull up a recipe for spaghetti,qa_factoid,factoid,qa,1
65,hey check emails,qa_factoid,factoid,qa,1
66,play good mythical morning podcast,qa_factoid,factoid,qa,1
67,how's the restaurant's delivery going,qa_factoid,factoid,qa,1
68,clean the flat,qa_factoid,factoid,qa,1
69,get news from bbc news,qa_factoid,factoid,qa,1
70,change my room lights so that i can get a good sleep,qa_factoid,factoid,qa,1
71,add event baseball practice five pm tonight,qa_factoid,factoid,qa,1
72,how big is japan,qa_factoid,factoid,qa,1
73,do you like my girlfriend,qa_factoid,factoid,qa,1
74,move to the next episode,qa_factoid,factoid,qa,1
75,weather on tuesday,qa_factoid,factoid,qa,1
76,what is on november twenty,qa_factoid,factoid,qa,1
77,create a new list of,qa_factoid,factoid,qa,1
78,i had a horrible service at olive garden i need to tweet them,qa_factoid,factoid,qa,1
79,continue playing my audiobook,qa_factoid,factoid,qa,1
80,wakey wakey eggs and bakey,qa_factoid,factoid,qa,1
81,set a reminder for next saturday go to the library at five o'clock,qa_factoid,factoid,qa,1
82,change light colour to blue,qa_factoid,factoid,qa,1
83,have i received any email since five pm,qa_factoid,factoid,qa,1
84,will it rain,qa_factoid,factoid,qa,1
85,lower your volume please,qa_factoid,factoid,qa,1
86,is my order at domino's ready,qa_factoid,factoid,qa,1
87,pause the audiobook,qa_factoid,factoid,qa,1
88,next alarm,qa_factoid,factoid,qa,1
89,remind me about the upcoming national holiday,qa_factoid,factoid,qa,1
90,clear my schedule for today,qa_factoid,factoid,qa,1
91,play my second playlist,qa_factoid,factoid,qa,1
92,go to youtube and play me the best wedding songs collection,qa_factoid,factoid,qa,1
93,can i wear shorts out while shopping today,qa_factoid,factoid,qa,1
94,when is bruno mars coming to sacramento,qa_factoid,factoid,qa,1
95,i want to listen to my playlist will you play it now,qa_factoid,factoid,qa,1
96,what time does the train leave philadelphia,qa_factoid,factoid,qa,1
97,what things can't you do,qa_factoid,factoid,qa,1
98,send email to enalen i'm going to send the files the next day,qa_factoid,factoid,qa,1
99,tune a radio channel for good jokes,qa_factoid,factoid,qa,1
100,what day of the week does the twenty second fall on this month,qa_factoid,factoid,qa,1
101,repurchase last train ticket to phillyx,qa_factoid,factoid,qa,1
102,open my most recent email and reply,qa_factoid,factoid,qa,1
103,what is the exchange rate of u. s. d. to cad,qa_factoid,factoid,qa,1
104,buy me today train ticket to city leeds,qa_factoid,factoid,qa,1
105,google,qa_factoid,factoid,qa,1
106,meaning of a particular word,qa_factoid,factoid,qa,1
107,when is the next appointment on my calendar,qa_factoid,factoid,qa,1
108,end this podcast start anew,qa_factoid,factoid,qa,1
109,i want to know who is at the top of the english premier league at the moment,qa_factoid,factoid,qa,1
110,who did i email recently,qa_factoid,factoid,qa,1
111,what's the best clothes store here,qa_factoid,factoid,qa,1
112,i want to listen to soft rock,qa_factoid,factoid,qa,1
113,add my sister visiting to my family calendar,qa_factoid,factoid,qa,1
114,cancel my five pm daily call,qa_factoid,factoid,qa,1
115,my favorite singer is shakira,qa_factoid,factoid,qa,1
116,olly send a tweet to company,qa_factoid,factoid,qa,1
117,book ticket to depart in the morning,qa_factoid,factoid,qa,1
118,email the following message to this contact please,qa_factoid,factoid,qa,1
119,what is the seattle city council doing about homelessness,qa_factoid,factoid,qa,1
120,how do i get to poughkeepsie from new york city,qa_factoid,factoid,qa,1
121,i would like coffee now,qa_factoid,factoid,qa,1
122,tell me the date today,qa_factoid,factoid,qa,1
123,check emails from jane doe,qa_factoid,factoid,qa,1
124,what is the schedule of the next maggie rogers concert,qa_factoid,factoid,qa,1
125,high stock price,qa_factoid,factoid,qa,1
126,report any new emails,qa_factoid,factoid,qa,1
127,post to tumblr i'm having fun,qa_factoid,factoid,qa,1
128,open clock,qa_factoid,factoid,qa,1
129,get recipe for making a hotdog,qa_factoid,factoid,qa,1
130,what is your favorite color,qa_factoid,factoid,qa,1
131,heating levels at what times in the apt,qa_factoid,factoid,qa,1
132,funny joke,qa_factoid,factoid,qa,1
133,tweet consumer service that i am very disappointed with my recent interaction,qa_factoid,factoid,qa,1
134,email tom,qa_factoid,factoid,qa,1
135,define yourself in one word,qa_factoid,factoid,qa,1
136,give me best cooking ideas,qa_factoid,factoid,qa,1
137,can you please add my dinner reservations to my calendar,qa_factoid,factoid,qa,1
138,tell me the date of inauguration of my friend sams business,qa_factoid,factoid,qa,1
139,decrease lighting,qa_factoid,factoid,qa,1
140,play snake with me,qa_factoid,factoid,qa,1
141,what day of the week is twelfth,qa_factoid,factoid,qa,1
142,show my upcoming events,qa_factoid,factoid,qa,1
143,show me the last episode,qa_factoid,factoid,qa,1
144,alert me in three hours,qa_factoid,factoid,qa,1
145,what is home town weather,qa_factoid,factoid,qa,1
146,let me know if i have new emails,qa_factoid,factoid,qa,1
147,add to the calendar a reunion event for this afternoon,qa_factoid,factoid,qa,1
148,show me all the events happening in milan,qa_factoid,factoid,qa,1
149,which day will be rainy in this week,qa_factoid,factoid,qa,1
150,tell me what's happening in european politics,qa_factoid,factoid,qa,1
151,i need to go to lyon book a train ticket,qa_factoid,factoid,qa,1
152,olly book a ticket to paris on eurostar at five pm this friday,qa_factoid,factoid,qa,1
153,my weekly plan,qa_factoid,factoid,qa,1
154,remove the list of things to do,qa_factoid,factoid,qa,1
155,what is twenty four times twenty four,qa_factoid,factoid,qa,1
156,list the availables,qa_factoid,factoid,qa,1
157,what is the definition of a home run,qa_factoid,factoid,qa,1
158,reply to all,qa_factoid,factoid,qa,1
159,take me to the huffington post website,qa_factoid,factoid,qa,1
160,do i have any reminders today,qa_factoid,factoid,qa,1
161,what events do i have coming up,qa_factoid,factoid,qa,1
162,pull up the headlines please,qa_factoid,factoid,qa,1
163,could you tell me what time it is,qa_factoid,factoid,qa,1
164,do i have an alarm set,qa_factoid,factoid,qa,1
165,has any personal emails come in yet,qa_factoid,factoid,qa,1
166,is there going to be any flip flop weather soon,qa_factoid,factoid,qa,1
167,could you please lower the tone,qa_factoid,factoid,qa,1
168,how is the traffic near me,qa_factoid,factoid,qa,1
169,who is leading the formula one race right now,qa_factoid,factoid,qa,1
170,tell me which catering packages are available,qa_factoid,factoid,qa,1
171,what us state is farthest north,qa_factoid,factoid,qa,1
172,where is the nearest pub in the city,qa_factoid,factoid,qa,1
173,remember to fix a meeting between me and the players tomorrow evening by seven,qa_factoid,factoid,qa,1
174,i would like it to easily keep an inventory and tell me when i'm running low on something,qa_factoid,factoid,qa,1
